Sub,Vehicle,task,Mental,Physical,Hurried,Successful,Work,Insecure,Intuitive,Complex
501,057b 2018 Nissan Pathfinder SL,Single,3,3,1,19,5,1,13,5
501,057b 2018 Nissan Pathfinder SL,SuRT,10,5,3,17,10,2,10,10
501,057b 2018 Nissan Pathfinder SL,SMSRS_V,13,5,5,12,12,9,12,11
501,057b 2018 Nissan Pathfinder SL,nBack,13,7,7,12,13,10,10,15
501,057b 2018 Nissan Pathfinder SL,SMSRS_CS,11,7,6,15,13,4,14,10
501,057b 2018 Nissan Pathfinder SL,Audio_CS,11,6,5,12,8,7,11,10
501,057b 2018 Nissan Pathfinder SL,Nav_V,8,4,4,17,6,3,3,6
501,057b 2018 Nissan Pathfinder SL,Audio_V,11,4,4,13,8,6,14,9
501,057b 2018 Nissan Pathfinder SL,Nav_CS,4,2,2,16,4,2,8,5
501,057b 2018 Nissan Pathfinder SL,CD_CS,4,3,4,20,3,2,15,3
501,057b 2018 Nissan Pathfinder SL,CD_V,3,2,3,17,4,3,16,4
504,057b 2018 Nissan Pathfinder SL,SuRT,18,5,13,14,20,19,19,19
504,057b 2018 Nissan Pathfinder SL,nBack,21,5,19,8,20,20,18,19
504,057b 2018 Nissan Pathfinder SL,Single,3,2,3,19,3,3,3,3
504,057b 2018 Nissan Pathfinder SL,Audio_CS,21,7,9,10,19,19,8,16
504,057b 2018 Nissan Pathfinder SL,SMSRS_V,10,4,7,15,7,7,15,7
504,057b 2018 Nissan Pathfinder SL,Audio_V,18,10,7,4,18,21,7,14
504,057b 2018 Nissan Pathfinder SL,SMSRS_CS,7,7,4,15,6,7,10,7
504,057b 2018 Nissan Pathfinder SL,CD_CS,7,5,7,18,5,7,10,5
504,057b 2018 Nissan Pathfinder SL,Nav_V,8,5,7,14,7,6,15,7
504,057b 2018 Nissan Pathfinder SL,CD_V,7,5,6,16,7,6,7,5
504,057b 2018 Nissan Pathfinder SL,Nav_CS,7,7,5,17,5,4,17,5
207,058a 2018 Mazda CX-5 Grand.Touring,CD_V,18,8,19,20,17,19,16,14
207,058a 2018 Mazda CX-5 Grand.Touring,Nav_RW,16,8,10,17,18,20,12,16
207,058a 2018 Mazda CX-5 Grand.Touring,CD_RW,13,11,5,20,11,16,14,5
207,058a 2018 Mazda CX-5 Grand.Touring,Nav_V,19,4,3,12,7,14,4,17
207,058a 2018 Mazda CX-5 Grand.Touring,Audio_V,13,3,2,8,16,18,4,19
207,058a 2018 Mazda CX-5 Grand.Touring,SMSRS_RW,12,8,3,18,4,12,14,8
207,058a 2018 Mazda CX-5 Grand.Touring,Audio_RW,15,13,3,20,4,4,18,3
207,058a 2018 Mazda CX-5 Grand.Touring,SMSRS_V,16,4,17,17,10,12,16,4
207,058a 2018 Mazda CX-5 Grand.Touring,nBack,21,3,9,11,20,17,11,18
207,058a 2018 Mazda CX-5 Grand.Touring,Single,3,2,1,20,2,2,21,1
207,058a 2018 Mazda CX-5 Grand.Touring,SuRT,18,7,4,18,17,15,19,4
206,057a 2018 Nissan Pathfinder SL,CD_V,16,10,11,14,18,16,9,6
206,057a 2018 Nissan Pathfinder SL,Nav_CS,5,12,4,19,3,2,9,6
206,057a 2018 Nissan Pathfinder SL,CD_CS,11,15,12,17,16,7,8,4
206,057a 2018 Nissan Pathfinder SL,Nav_V,17,18,9,14,18,20,8,14
206,057a 2018 Nissan Pathfinder SL,Audio_V,18,5,4,7,15,15,6,7
206,057a 2018 Nissan Pathfinder SL,SMSRS_CS,4,13,3,20,7,5,13,4
206,057a 2018 Nissan Pathfinder SL,Audio_CS,14,21,6,16,17,17,4,8
206,057a 2018 Nissan Pathfinder SL,SMSRS_V,5,15,4,19,10,6,4,5
206,057a 2018 Nissan Pathfinder SL,nBack,21,21,1,6,21,20,3,21
206,057a 2018 Nissan Pathfinder SL,Single,10,5,1,18,15,7,21,1
206,057a 2018 Nissan Pathfinder SL,SuRT,18,20,3,18,19,19,20,1
502,058b 2018 Mazda CX-5 Grand.Touring,SuRT,18,14,18,18,18,3,15,12
502,058b 2018 Mazda CX-5 Grand.Touring,nBack,19,16,18,14,18,18,6,18
502,058b 2018 Mazda CX-5 Grand.Touring,Single,6,5,8,19,5,5,18,5
502,058b 2018 Mazda CX-5 Grand.Touring,Audio_RW,19,18,18,15,16,14,14,10
502,058b 2018 Mazda CX-5 Grand.Touring,SMSRS_V,19,14,14,6,18,18,8,17
502,058b 2018 Mazda CX-5 Grand.Touring,Audio_V,14,12,12,4,18,17,7,17
502,058b 2018 Mazda CX-5 Grand.Touring,SMSRS_RW,10,8,8,18,12,6,16,6
502,058b 2018 Mazda CX-5 Grand.Touring,CD_RW,13,8,12,18,13,10,16,8
502,058b 2018 Mazda CX-5 Grand.Touring,Nav_V,8,6,6,16,14,12,14,12
502,058b 2018 Mazda CX-5 Grand.Touring,CD_V,8,6,7,17,14,11,12,8
502,058b 2018 Mazda CX-5 Grand.Touring,Nav_RW,15,6,14,6,17,19,6,18
207,057a 2018 Nissan Pathfinder SL,Nav_V,14,2,3,20,3,1,5,2
207,057a 2018 Nissan Pathfinder SL,SMSRS_CS,13,6,3,20,4,2,17,1
207,057a 2018 Nissan Pathfinder SL,Nav_CS,15,4,3,20,2,2,19,2
207,057a 2018 Nissan Pathfinder SL,SMSRS_V,17,4,2,21,6,4,19,1
207,057a 2018 Nissan Pathfinder SL,CD_V,13,3,3,18,3,6,15,5
207,057a 2018 Nissan Pathfinder SL,Single,2,2,1,20,1,1,20,1
207,057a 2018 Nissan Pathfinder SL,CD_CS,16,6,4,20,4,5,15,3
207,057a 2018 Nissan Pathfinder SL,SuRT,18,15,16,17,15,13,19,7
207,057a 2018 Nissan Pathfinder SL,Audio_V,14,2,4,16,5,7,8,6
207,057a 2018 Nissan Pathfinder SL,nBack,21,3,3,14,20,17,10,21
207,057a 2018 Nissan Pathfinder SL,Audio_CS,18,5,3,17,6,11,13,3
500,057b 2018 Nissan Pathfinder SL,SMSRS_CS,4,5,5,19,5,2,18,1
